cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1972–1973),5.775 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,"Grand Prix Circuit (1955–1959, 1962–1971)Motorcycle Circuit (1955–1973)",5.750 km,1971,Henri Pescarolo,83.8
Autodromo Nazionale di Monza,Monza,Italy,Oval (1955–1971),4.250 [ 5 ] km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Combined Course (1955–1971),10.000 km,1960,223.02 km/h (138.58 mph ( Phil Hill,163.6
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1948–1954),6.300 km,1951,Giuseppe Farina,116.2
Autodromo Nazionale di Monza,Monza,Italy,Florio Circuit (1938–1949),6.993 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Florio Circuit with Temporary Chicanes (1935–1937),6.952 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Grand Prix Circuit (1934),4.329 km,NULL,NULL,NULL
Autodromo Nazionale di Monza,Monza,Italy,Original Grand Prix Circuit (1922–1933),10.000 km,NULL,NULL,NULL
Mosport International Raceway,Ontario,Canada,Clockwise Grand Prix Circuit (1961–present),3.957 km,NULL,NULL,NULL
Autodromo Internazionale del Mugello,Mugello,Italy,Grand Prix Circuit (1974–present),5.245 km,2020,Lewis Hamilton,78.833
Autodromo Internazionale del Mugello,Mugello,Italy,Road Course (1964–1970),66.2 km,NULL,NULL,NULL
Autodromo Internazionale del Mugello,Mugello,Italy,Road Course (1955),19.0 km,NULL,NULL,NULL
Autodromo Internazionale del Mugello,Mugello,Italy,Road Course (1928–1929),61.895 km,NULL,NULL,NULL
Autodromo Internazionale del Mugello,Mugello,Italy,Road Course (1925),18.17 km,NULL,NULL,NULL
Autodromo Internazionale del Mugello,Mugello,Italy,Road Course (1920–1924),64.591 km,NULL,NULL,NULL
Nivelles-Baulers,Brussels,Belgium,Grand Prix Circuit (1972–1981),3.724 km,1974,Denny Hulme,71.31
Nürburgring,Nürburg,Germany,GP-Strecke (2001–present),5.1480 km,2020,Max Verstappen,88.139
Nürburgring,Nürburg,Germany,Sprint Circuit (2002–present),3.629 km,NULL,NULL,NULL
Nürburgring,Nürburg,Germany,Oldtimer Circuit (2002–present),4.569 km,2018,Martin Stretton,96.325
Nürburgring,Nürburg,Germany,24 Hours Circuit – Combined GP Circuit without Mercedes-Arena(2002–present),25.378 km,NULL,NULL,NULL
Nürburgring,Nürburg,Germany,Nordschleife(1983–present),20.832 km,NULL,NULL,NULL
Nürburgring,Nürburg,Germany,GP-Strecke with F1 Chicane (1995–2001),4.556 km,2001,Juan Pablo Montoya,78.354
Nürburgring,Nürburg,Germany,GP-Strecke without F1 Chicane (1984–2001),4.542 km,NULL,NULL,NULL
Nürburgring,Nürburg,Germany,Nordschleife(1971–1982),22.835 km,1975,Clay Regazzoni,426.4
Nürburgring,Nürburg,Germany,Nordschleife(1967–1970),22.835 km,1969,Jacky Ickx,460.8
